Site,Date,Honeydew,Vespids,Formicids,Other,SLF,Notes
SLF Landfill North/Stream,7/12/2022,moderate,0,2,3,n/a,
SLF Landfill North/Stream,7/26/2022,moderate,0,0,1,n/a,~10 on surveyed section of ToH trunk ~20cm dbh. Honeybee seen landing on leaf wet with honeydew
SLF Landfill North/Stream,8/9/2022,severe,0,4,9,>200,lots of drosophilids(?) around yeast colonies at trunk bases
SLF Landfill North/Stream,8/25/2022,severe,0,1,13,>200,"many small flies around yeast colonies, though few landed on trunks"
SLF Landfill North/Stream,9/8/2022,severe,0,5,5,99,
SLF Landfill North/Stream,9/29/2022,severe,0,6,2,96,
SLF Landfill North/Stream,10/19/2022,moderate,0,1,0,65,
SLF Landfill South/Cherry,7/12/2022,moderate,0,8,6,n/a,
SLF Landfill South/Cherry,7/26/2022,moderate,0,9,12,n/a,live trees only
SLF Landfill South/Cherry,8/9/2022,moderate,0,16,3,>200,borer frass tubes on large ToH
SLF Landfill South/Cherry,8/25/2022,severe,0,9,3,117,
SLF Landfill South/Cherry,9/8/2022,n/a,0,9,4,83,
SLF Landfill South/Cherry,9/29/2022,severe,0,20,3,153,"2 vespids on trunk near SLF outside of counts/survey. ""other"" includes 2 Muscid flies apparently lapping honeydew near SLF"
SLF Landfill South/Cherry,10/19/2022,moderate,0,15,12,77,"ants visiting weeping spot on lower ToH trunk near SLF feeding. ""other"" mostly various muscid flies landing on bark of ToH"
SLF Echo Lane,7/12/2022,none,0,7,3,n/a,
SLF Echo Lane,7/26/2022,none,0,13,8,n/a,
SLF Echo Lane,8/9/2022,moderate,0,21,13,9,borer damage/ sawdust frass on large ToH
SLF Echo Lane,8/25/2022,moderate,0,3,1,75,
SLF Echo Lane,9/8/2022,severe,0,21,13,99,"20+ ants seen obviously feeding on wet patch of honeydew <50cm from ground on bark of ToH, near SLF feeding aggregation. Lots of mosquito pressure here! Impression confirmed by Joseph - noticably more than before. Lots of small flies buzzing around honeydew-soaked lower trunks"
SLF Echo Lane,9/30/2022,severe,0,26,1,144,"most ants in 3cm diameter aggregation at base of root crown of large ToH, <3cm from feeding SLF, second aggregation (not counted) <15 cm away apparently feeding on small semi-dry patch of honeydew yeast"
SLF Echo Lane,10/19/2022,severe,0,18,1,54,
SLF Artrip South,7/14/2022,moderate,0,6,0,n/a,trees <2m outside plot; no trees within plot due to thickness of vegetation around tree trunks
SLF Artrip South,7/28/2022,moderate,0,8,1,n/a,
SLF Artrip South,8/12/2022,moderate,0,6,2,>200,
SLF Artrip South,9/1/2022,severe,2,3,2,>200,"vespids landed on trunk briefly or on bark, several more seen landing near yeast colonies or vegetation, one carried off insect from yeast colony"
