Site,Date,Honeydew,Honeydew notes,blacknymphs,rednymphs,adults,Notes
SLF Landfill North/Stream,7/12/2022,moderate,could see and feel raining down,0,262,0,"mostly on branches, very few on trunks"
SLF Landfill North/Stream,7/26/2022,moderate,"persistent wet spot under honeydew drip, ~80 cm diameter, no yeast, sweet smell detected",0,8,219,"recounted, realized a heavily infested tree was within plot"
SLF Landfill North/Stream,8/9/2022,severe,"yeast present, vinegar smell present",0,0,770,more uncounted
SLF Landfill North/Stream,8/25/2022,severe,,0,0,491,
SLF Landfill North/Stream,9/8/2022,severe,,0,0,369,fewer on lower ToH trunks than earlier weeks
SLF Landfill North/Stream,9/29/2022,severe,"heavy, but more dry than sticky",0,0,296,
SLF Landfill North/Stream,10/19/2022,moderate,dry,0,0,175,"some dead, stuck to tree as if alive"
SLF Landfill South/Cherry,7/12/2022,moderate,,9,283,0,very active/mobile
SLF Landfill South/Cherry,7/26/2022,moderate,nymphs and honeydew seen and felt falling respectively,6,105,8,most red nymphs on black walnut
SLF Landfill South/Cherry,8/9/2022,moderate,honeydew raining down,0,3,522,many more adults uncounted
SLF Landfill South/Cherry,8/25/2022,severe,"on edge of moderate-severe, relatively light coating of honeydew on foliage, but small yeast colonies at base of ToH, honeydew seen and felt, black mold ~30cm radius from tree trunks",0,0,334,
SLF Landfill South/Cherry,9/8/2022,n/a,,0,0,220,
SLF Landfill South/Cherry,9/29/2022,severe,heavy - dry,0,0,426,
SLF Landfill South/Cherry,10/19/2022,moderate,mostly dry,0,0,317,some likely dead
SLF Echo Lane,7/12/2022,none,,2,3,0,
SLF Echo Lane,7/26/2022,none,,0,0,2,
SLF Echo Lane,8/9/2022,moderate,"milder end of spectrum, honeydew seen falling",0,2,32,
SLF Echo Lane,8/25/2022,moderate,,0,0,124,"timer paused unexpectidely, 5 min is approx. +/- 1 min"
SLF Echo Lane,9/8/2022,severe,vinegar smell detected,0,0,226,
SLF Echo Lane,9/30/2022,severe,"dry, except for small wet patches",0,0,191,
SLF Echo Lane,10/19/2022,severe,mostly dry,0,0,122,some may be dead
SLF Artrip South,7/14/2022,moderate,,5,314,0,
SLF Artrip South,7/28/2022,moderate,"sweet, semi-vinegary smell present near heavily coated areas, honeydew seen and felt falling",1,119,45,
SLF Artrip South,8/12/2022,moderate,vinegar smell detected,0,3,458,100's more just outside of plot
SLF Artrip South,9/1/2022,severe,actual yeast colonies just outside of plot (within 1 m),0,1,244,>100's more just outside of plot at base of ToH
SLF Artrip South,9/13/2022,moderate,"thick black coating and wetness, but no yeast colonies",0,0,142,
SLF Artrip South,9/29/2022,severe,heavy - dry,0,0,123,
SLF Artrip South,10/19/2022,n/a,,,,,"dead cow in center of plot, only blue vane trap collected"
