alphanumeric ID,Serial number ,Site,Collection Date,Sampling Method,Order,Taxa,Count,Taxa Level,Deterioration,,,,
TSCS_bv_hym_13Jul22,100.1,TSCS,07/13/22,blue vane,hymenoptera,chrysididae,1,family,intact,,,,
TSCS_bv_hym_13Jul22,100.2,TSCS,07/13/22,blue vane,hymenoptera,colletidae,3,family,intact,,,,
TSCS_bv_hym_13Jul22,100.3,TSCS,07/13/22,blue vane,hymenoptera,formicidae,7,family,intact,,,,
TSCS_bv_hym_13Jul22,100.4,TSCS,07/13/22,blue vane,hymenoptera,halictidae,1,family,intact,,,,
NSCS_sn_hym_13Jul22,101.1,NSCS,07/13/22,sweep net,hymenoptera,formicidae,8,family,intact,,,,
NSCS_sn_hym_13Jul22,101.2,NSCS,07/13/22,sweep net,hymenoptera,vespidae,1,family,intact,,,,
SELS_bv_hym_26Jul22,102.1,SELS,07/26/22,blue vane,hymenoptera,apidae,1,family,intact,,,,
SELS_bv_hym_26Jul22,102.2,SELS,07/26/22,blue vane,hymenoptera,halictidae,2,family,intact,,,,
SELS_bv_hym_30Sep22,103.1,SELS,09/30/22,blue vane,hymenoptera,vespidae,17,family,intact,,,,
SAS_bv_hym_29Sep22,104.1,SAS,09/29/22,blue vane,hymenoptera,formicidae,5,family,intact,,,,
SAS_bv_hym_29Sep22,104.2,SAS,09/29/22,blue vane,hymenoptera,halictidae,1,family,intact,,,,
SAS_bv_hym_29Sep22,104.3,SAS,09/29/22,blue vane,hymenoptera,vespidae,19,family,intact,,,,
NCTC_bv_hym_17Aug22,105.1,NCTC,08/17/22,blue vane,hymenoptera,formicidae,1,family,intact,,,,
NCTC_bv_hym_17Aug22,105.2,NCTC,08/17/22,blue vane,hymenoptera,pompilidae,1,family,deteriorating,,,,
TAD_bv_hym_26Aug22,106.1,TAD,08/26/22,blue vane,hymenoptera,halictidae,68,family,intact,,,,
TAD_bv_hym_26Aug22,106.2,TAD,08/26/22,blue vane,hymenoptera,formicidae,4,family,intact,,,,
TAD_bv_hym_26Aug22,106.3,TAD,08/26/22,blue vane,hymenoptera,vespidae,12,family,intact,,,,
TAD_bv_hym_26Aug22,106.4,TAD,08/26/22,blue vane,hymenoptera,pompilidae,1,family,intact,,,,
SLSC_sn_hym_25Aug22,107.1,SLSC,08/25/22,sweep net,hymenoptera,chrysididae,1,family,intact,,,,
SLSC_sn_hym_25Aug22,107.2,SLSC,08/25/22,sweep net,hymenoptera,formicidae,2,family,intact,,,,
SLSC_sn_hym_25Aug22,107.3,SLSC,08/25/22,sweep net,hymenoptera,bethylidae,1,family,intact,,,,
TY_bv_hym_30Sep22,108.1,TY,09/30/22,blue vane,hymenoptera,halictidae,1,family,intact,,,,
TSSS_sn_hym_30Sep22,109.1,TSSS,09/30/22,sweep net,hymenoptera,ichneumonidae,1,family,deteriorating,,,,
NCTC_bv_hym_31Aug22,110.1,NCTC,08/31/22,blue vane,hymenoptera,andrenidae,1,family,intact,,,,
NCTC_bv_hym_31Aug22,110.2,NCTC,08/31/22,blue vane,hymenoptera,formicidae,1,family,intact,,,,
TSSS_bv_hym_31Aug22,111.1,TSSS,08/31/22,blue vane,hymenoptera,halictidae,7,family,intact,,,,
TSSS_bv_hym_31Aug22,111.2,TSSS,08/31/22,blue vane,hymenoptera,andrenidae,2,family,intact,,,,
NSSN_bv_hym_13Sep22,112.1,NSSN,09/13/22,blue vane,hymenoptera,formicidae,1,family,intact,,,,
NCTC_bv_hym_30Sep22,113.1,NCTC,09/30/22,blue vane,hymenoptera,halictidae,1,family,deteriorating,,,,
