Site,Date,Honeydew,Leps,Vespids,Notes
SLF Landfill North/Stream,7/12/2022,moderate,1,n/a,butterfly
SLF Landfill North/Stream,7/26/2022,moderate,0,0,
SLF Landfill North/Stream,8/9/2022,severe,0,0,
SLF Landfill North/Stream,8/25/2022,severe,0,2,
SLF Landfill North/Stream,9/8/2022,severe,0,3,
SLF Landfill North/Stream,9/29/2022,severe,0,0,
SLF Landfill North/Stream,10/19/2022,moderate,0,0,
SLF Landfill South/Cherry,7/12/2022,moderate,3,n/a,
SLF Landfill South/Cherry,7/26/2022,moderate,1,3,
SLF Landfill South/Cherry,8/9/2022,moderate,6,0,surrounding field mowed up to edge of plot
SLF Landfill South/Cherry,8/25/2022,severe,2,0,
SLF Landfill South/Cherry,9/8/2022,n/a,0,6,
SLF Landfill South/Cherry,9/29/2022,severe,0,3,
SLF Landfill South/Cherry,10/19/2022,moderate,0,0,field near plot recently mowed (since last check)
SLF Echo Lane,7/12/2022,none,4,n/a,white Pierids
SLF Echo Lane,7/26/2022,none,0,0,
SLF Echo Lane,8/9/2022,moderate,0,0,
SLF Echo Lane,8/25/2022,moderate,0,2,
SLF Echo Lane,9/8/2022,severe,0,5,
SLF Echo Lane,9/30/2022,severe,0,0,
SLF Echo Lane,10/19/2022,severe,0,0,
SLF Artrip South,7/14/2022,moderate,1,n/a,
SLF Artrip South,7/28/2022,moderate,3,0,
SLF Artrip South,8/12/2022,moderate,0,2,
SLF Artrip South,9/1/2022,severe,0,6,
SLF Artrip South,9/13/2022,moderate,0,15,
SLF Artrip South,9/29/2022,severe,0,10,
SLF Artrip South,10/19/2022,n/a,,,"dead cow in center of plot, only blue vane trap collected"
ToH Sleepy Creek South,7/13/2022,none,4,n/a,
ToH Sleepy Creek South,7/27/2022,none,0,1,
ToH Sleepy Creek South,8/11/2022,none,2,0,
ToH Sleepy Creek South,8/26/2022,none,0,0,
ToH Sleepy Creek South,9/14/2022,none,2,3,
ToH Sleepy Creek South,9/28/2022,none,0,3,
ToH Sleepy Creek South,10/20/2022,none,0,0,
ToH Atwood Drive,7/14/2022,none,0,n/a,
ToH Atwood Drive,7/27/2022,none,0,3,
ToH Atwood Drive,8/12/2022,none,0,0,
ToH Atwood Drive,8/26/2022,none,3,1,
ToH Atwood Drive,9/13/2022,none,0,3,
ToH Atwood Drive,9/28/2022,none,1,0,
ToH Atwood Drive,10/20/2022,none,0,0,
ToH Shannondale Springs South,7/15/2022,none,0,n/a,
ToH Shannondale Springs South,8/2/2022,none,0,4,*3 vespids potentially missed because Liams view was blocked by Jim doing trunk survey
ToH Shannondale Springs South,8/12/2022,none,0,1,
ToH Shannondale Springs South,8/31/2022,none,0,3,
ToH Shannondale Springs South,9/13/2022,none,0,5,
ToH Shannondale Springs South,9/30/2022,none,0,0,
ToH Shannondale Springs South,10/21/2022,none,0,0,
ToH Yankauer,7/15/2022,none,1,n/a,
ToH Yankauer,8/2/2022,none,1,0,
ToH Yankauer,8/17/2022,none,0,0,
ToH Yankauer,8/31/2022,none,1,0,
ToH Yankauer,9/14/2022,none,0,0,
ToH Yankauer,9/30/2022,mild,0,0,
ToH Yankauer,10/21/2022,none,0,0,
Negative Sleepy Creek South,7/13/2022,none,2,n/a,
Negative Sleepy Creek South,7/27/2022,none,0,0,
Negative Sleepy Creek South,8/11/2022,none,0,1,
Negative Sleepy Creek South,8/26/2022,none,0,0,
Negative Sleepy Creek South,9/14/2022,none,0,1,
Negative Sleepy Creek South,9/28/2022,none,0,0,
Negative Sleepy Creek South,10/20/2022,none,0,0,
Negative Sleepy Creek North,7/13/2022,none,3,n/a,
Negative Sleepy Creek North,7/28/2022,none,0,1,
Negative Sleepy Creek North,8/11/2022,none,0,0,
Negative Sleepy Creek North,8/26/2022,none,0,0,
Negative Sleepy Creek North,9/14/2022,none,1,4,
Negative Sleepy Creek North,9/28/2022,none,0,0,
Negative Sleepy Creek North,10/20/2022,none,0,3,
Negative NCTC,7/15/2022,none,0,n/a,
Negative NCTC,8/3/2022,none,0,0,
Negative NCTC,8/17/2022,none,1,0,
Negative NCTC,8/31/2022,none,0,1,
Negative NCTC,9/14/2022,none,0,4,
Negative NCTC,9/30/2022,none,0,0,
Negative NCTC,10/20/2022,none,0,0,
Negative Shannondale Springs North,7/15/2022,none,0,n/a,
Negative Shannondale Springs North,8/2/2022,none,2,3,
Negative Shannondale Springs North,8/12/2022,none,0,0,
Negative Shannondale Springs North,8/31/2022,none,3,3,
Negative Shannondale Springs North,9/13/2022,none,3,4,
Negative Shannondale Springs North,9/30/2022,none,0,0,
Negative Shannondale Springs North,10/21/2022,none,0,0,
