Site,Date,Honeydew,sampletype,SLF,Other Hem,Dip,Hym,Col,Neur,Lep,Ortho,Spiders,Other,Notes
SLF Landfill North/Stream,7/12/2022,moderate,blue vane,0,3,2,4,5,0,0,0,1,0,"replacement PG, forgot soap, 7/12"
SLF Landfill North/Stream,7/26/2022,moderate,blue vane,0,1,1,4,8,0,1,1,1,,
SLF Landfill North/Stream,8/9/2022,severe,blue vane,0,1,13,0,1,0,1,0,0,,
SLF Landfill North/Stream,8/25/2022,severe,blue vane,0,0,88,1,2,0,1,2,1,,
SLF Landfill North/Stream,9/8/2022,severe,blue vane,0,0,28,22,4,0,0,0,4,,
SLF Landfill North/Stream,9/29/2022,severe,blue vane,0,0,24,3,0,0,0,3,5,,
SLF Landfill North/Stream,10/19/2022,moderate,blue vane,2,0,14,0,0,0,0,0,0,,
SLF Landfill South/Cherry,7/12/2022,moderate,blue vane,5,2,7,7,3,0,0,2,1,,"replacement PG, forgot soap, 7/12"
SLF Landfill South/Cherry,7/26/2022,moderate,blue vane,2,3,12,18,5,0,2,0,1,,
SLF Landfill South/Cherry,8/9/2022,moderate,blue vane,0,1,9,13,0,0,2,2,8,,
SLF Landfill South/Cherry,8/25/2022,severe,blue vane,2,2,15,47,2,0,0,1,5,,
SLF Landfill South/Cherry,9/8/2022,n/a,blue vane,2,0,115,63,4,0,48,9,2,,
SLF Landfill South/Cherry,9/29/2022,severe,blue vane,1,4,43,27,2,0,8,1,2,3,hymenoptera mostly yellow jackets
SLF Landfill South/Cherry,10/19/2022,moderate,blue vane,0,0,43,9,0,0,1,0,0,,
SLF Echo Lane,7/12/2022,none,blue vane,0,2,13,15,2,0,0,6,1,28,"replacement PG, forgot to add soap 7/12"
SLF Echo Lane,7/26/2022,none,blue vane,0,3,14,5,2,0,1,1,0,,
SLF Echo Lane,8/9/2022,moderate,blue vane,0,4,17,8,0,0,1,1,0,,
SLF Echo Lane,8/25/2022,moderate,blue vane,0,2,26,2,3,0,0,0,0,,"trap may have leaked slightly, reduced volume recovered, but funtional"
SLF Echo Lane,9/8/2022,severe,blue vane,0,2,4,17,1,0,0,1,1,,
SLF Echo Lane,9/30/2022,severe,blue vane,0,2,14,17,2,0,0,1,2,,
SLF Echo Lane,10/19/2022,severe,blue vane,0,1,11,1,0,0,0,0,1,,
SLF Artrip South,7/14/2022,moderate,blue vane,3,2,7,10,1,0,0,0,1,,
SLF Artrip South,7/28/2022,moderate,blue vane,0,2,13,5,6,0,1,0,0,,
SLF Artrip South,8/12/2022,moderate,blue vane,2,1,14,4,1,0,1,0,2,,vanes of trap knocked off by fallen branch
SLF Artrip South,9/1/2022,severe,blue vane,6,0,168,20,7,0,6,0,0,,vanes knocked off trap
SLF Artrip South,9/13/2022,moderate,blue vane,3,0,587,38,2,0,5,1,0,,
SLF Artrip South,9/29/2022,severe,blue vane,2,2,249,24,2,0,0,0,1,,
SLF Artrip South,10/19/2022,n/a,blue vane,0,0,136,4,1,0,0,0,2,,"dead cow in center of plot, only blue vane trap collected"
ToH Sleepy Creek South,7/13/2022,none,blue vane,0,1,17,18,29,0,3,0,2,,
ToH Sleepy Creek South,7/27/2022,none,blue vane,0,0,8,32,40,0,7,0,1,,
ToH Sleepy Creek South,8/11/2022,none,blue vane,0,0,10,85,7,0,0,1,2,,
ToH Sleepy Creek South,8/26/2022,none,blue vane,0,0,18,58,2,0,3,0,4,,
ToH Sleepy Creek South,9/14/2022,none,blue vane,0,0,13,50,3,0,2,1,1,,
ToH Sleepy Creek South,9/28/2022,none,blue vane,0,0,4,7,2,0,0,1,3,,
ToH Sleepy Creek South,10/20/2022,none,blue vane,0,0,30,566,2,0,20,0,1,,
ToH Atwood Drive,7/14/2022,none,blue vane,0,3,9,9,4,0,0,3,2,,
ToH Atwood Drive,7/27/2022,none,blue vane,0,2,9,5,0,0,0,3,2,,
ToH Atwood Drive,8/12/2022,none,blue vane,0,5,6,11,1,0,7,0,3,,
ToH Atwood Drive,8/26/2022,none,blue vane,0,1,10,99,2,0,2,1,2,,
ToH Atwood Drive,9/13/2022,none,blue vane,0,3,28,31,1,0,1,0,4,,
ToH Atwood Drive,9/28/2022,none,blue vane,0,0,7,32,3,0,0,2,2,,
ToH Atwood Drive,10/20/2022,none,blue vane,0,1,49,1499,7,0,5,11,1,,
ToH Shannondale Springs South,7/15/2022,none,blue vane,0,1,66,2,7,0,1,2,1,,
ToH Shannondale Springs South,8/2/2022,none,blue vane,0,0,34,4,3,0,2,5,2,,
ToH Shannondale Springs South,8/12/2022,none,blue vane,0,0,127,8,1,0,0,2,0,,
ToH Shannondale Springs South,8/31/2022,none,blue vane,0,0,19,15,0,0,4,5,2,,
ToH Shannondale Springs South,9/13/2022,none,blue vane,0,1,3,1,0,0,1,0,3,,
ToH Shannondale Springs South,9/30/2022,none,blue vane,0,0,3,4,2,0,0,0,1,,
ToH Shannondale Springs South,10/21/2022,none,blue vane,0,1,71,317,1,0,6,1,2,,
ToH Yankauer,7/15/2022,none,blue vane,0,1,9,2,3,0,0,2,0,,
ToH Yankauer,8/2/2022,none,blue vane,0,1,3,2,0,0,0,3,4,,
ToH Yankauer,8/17/2022,none,blue vane,,,,,,,,,,,"trap leaked, no sample recovered"
ToH Yankauer,8/31/2022,none,blue vane,0,0,2,13,0,0,1,0,3,,
ToH Yankauer,9/14/2022,none,blue vane,0,0,4,2,3,0,0,0,3,,
ToH Yankauer,9/30/2022,mild,blue vane,0,2,2,1,0,0,0,0,0,,
ToH Yankauer,10/21/2022,none,blue vane,0,2,51,126,2,0,1,0,0,,
Negative Sleepy Creek South,7/13/2022,none,blue vane,0,3,32,15,26,0,1,0,2,35,"replacement PG, forgot soap, 7/13"
Negative Sleepy Creek South,7/27/2022,none,blue vane,0,0,33,1,8,0,0,1,4,,
Negative Sleepy Creek South,8/11/2022,none,blue vane,0,2,15,2,1,0,1,0,4,,
Negative Sleepy Creek South,8/26/2022,none,blue vane,0,1,5,4,0,0,0,0,5,,
Negative Sleepy Creek South,9/14/2022,none,blue vane,0,2,6,3,1,0,2,0,2,,
Negative Sleepy Creek South,9/28/2022,none,blue vane,0,3,0,0,0,0,0,0,2,,
Negative Sleepy Creek South,10/20/2022,none,blue vane,0,0,10,2,1,0,0,0,2,,
Negative Sleepy Creek North,7/13/2022,none,blue vane,0,3,31,14,9,0,1,0,3,5,"replacement PG, forgot soap, 7/13"
Negative Sleepy Creek North,7/28/2022,none,blue vane,0,3,14,6,7,0,5,1,2,,
Negative Sleepy Creek North,8/11/2022,none,blue vane,0,1,12,22,1,0,2,0,4,,
Negative Sleepy Creek North,8/26/2022,none,blue vane,0,0,7,9,2,0,2,1,6,,
Negative Sleepy Creek North,9/14/2022,none,blue vane,0,0,3,12,0,0,3,1,13,,
Negative Sleepy Creek North,9/28/2022,none,blue vane,0,0,3,1,0,0,0,0,8,,
Negative Sleepy Creek North,10/20/2022,none,blue vane,0,0,6,2,0,0,1,0,4,,
Negative NCTC,7/15/2022,none,blue vane,0,4,8,3,2,0,0,0,0,,no soap added to replacement PG
Negative NCTC,8/3/2022,none,blue vane,0,2,5,2,2,0,2,0,5,,
Negative NCTC,8/17/2022,none,blue vane,0,1,12,9,1,1,2,0,0,,
Negative NCTC,8/31/2022,none,blue vane,0,0,2,2,1,0,1,0,0,,
Negative NCTC,9/14/2022,none,blue vane,0,2,17,8,4,0,6,1,2,,
Negative NCTC,9/30/2022,none,blue vane,0,1,7,2,3,0,3,0,4,,
Negative NCTC,10/20/2022,none,blue vane,0,2,16,140,1,0,3,0,6,,
Negative Shannondale Springs North,7/15/2022,none,blue vane,0,0,4,14,1,0,0,2,1,,no soap added to replacement PG
Negative Shannondale Springs North,8/2/2022,none,blue vane,0,0,1,6,0,0,0,0,2,,
Negative Shannondale Springs North,8/12/2022,none,blue vane,0,2,8,5,2,0,0,0,2,,
Negative Shannondale Springs North,8/31/2022,none,blue vane,0,0,22,26,93,0,3,0,2,,
Negative Shannondale Springs North,9/13/2022,none,blue vane,0,2,2,1,1,0,1,0,2,,
Negative Shannondale Springs North,9/30/2022,none,blue vane,0,1,2,5,0,0,0,1,1,,
Negative Shannondale Springs North,10/21/2022,none,blue vane,0,1,58,237,0,0,2,0,6,,
