Site,Date,Honeydew,sampletype,SLF,Other Hem,Dip,Hym,Col,Neur,Lep,Ortho,Spiders,Other,Notes
SLF Landfill North/Stream,7/12/2022,moderate,sweep,2,146,234,32,12,1,0,10,25,,
SLF Landfill North/Stream,7/26/2022,moderate,sweep,0,8,86,9,7,0,0,3,13,,lost ~10-20% of sample during transfer to EtOH
SLF Landfill North/Stream,8/9/2022,severe,sweep,6,12,268,36,13,0,0,2,15,,
SLF Landfill North/Stream,8/25/2022,severe,sweep,5,16,229,25,3,1,1,4,15,,
SLF Landfill North/Stream,9/8/2022,severe,sweep,2,15,121,17,2,0,2,0,14,,
SLF Landfill North/Stream,9/29/2022,severe,sweep,0,25,20,7,2,0,1,0,13,,
SLF Landfill North/Stream,10/19/2022,moderate,sweep,0,11,16,1,0,0,0,0,11,,
SLF Landfill South/Cherry,7/12/2022,moderate,sweep,30,107,223,36,26,1,6,4,55,,spider egg sack found in sweep net sample
SLF Landfill South/Cherry,7/26/2022,moderate,sweep,4,12,122,18,19,0,1,1,7,,
SLF Landfill South/Cherry,8/9/2022,moderate,sweep,2,12,144,14,5,0,1,0,17,,
SLF Landfill South/Cherry,8/25/2022,severe,sweep,5,9,90,15,8,3,4,3,10,,
SLF Landfill South/Cherry,9/8/2022,n/a,sweep,0,5,94,22,2,0,1,0,4,,
SLF Landfill South/Cherry,9/29/2022,severe,sweep,0,2,7,3,1,0,0,0,6,,
SLF Landfill South/Cherry,10/19/2022,moderate,sweep,1,5,5,1,0,0,0,0,9,,
SLF Echo Lane,7/12/2022,none,sweep,0,91,124,98,16,0,2,8,66,,49 spiders came out of nest
SLF Echo Lane,7/26/2022,none,sweep,0,30,63,13,3,0,5,2,13,,
SLF Echo Lane,8/9/2022,moderate,sweep,0,54,66,25,3,0,2,3,20,,
SLF Echo Lane,8/25/2022,moderate,sweep,2,41,82,19,2,0,1,0,21,,
SLF Echo Lane,9/8/2022,severe,sweep,0,9,34,4,0,0,1,0,11,,
SLF Echo Lane,9/30/2022,severe,sweep,0,7,13,4,2,0,1,0,19,,
SLF Echo Lane,10/19/2022,severe,sweep,0,1,1,0,0,0,0,0,10,,
SLF Artrip South,7/14/2022,moderate,sweep,24,59,181,31,14,0,3,15,40,,
SLF Artrip South,7/28/2022,moderate,sweep,3,27,212,31,5,0,1,3,24,,
SLF Artrip South,8/12/2022,moderate,sweep,3,19,398,23,5,0,1,3,22,,
SLF Artrip South,9/1/2022,severe,sweep,3,35,369,25,2,0,4,0,8,,
SLF Artrip South,9/13/2022,moderate,sweep,0,13,92,9,1,0,1,0,11,,
SLF Artrip South,9/29/2022,severe,sweep,1,16,64,13,3,0,2,0,4,,
SLF Artrip South,10/19/2022,n/a,,,,,,,,,,,,"dead cow in center of plot, only blue vane trap collected"
ToH Sleepy Creek South,7/13/2022,none,sweep,0,29,57,33,17,0,1,6,17,,
ToH Sleepy Creek South,7/27/2022,none,sweep,0,22,39,24,6,0,4,5,19,,
ToH Sleepy Creek South,8/11/2022,none,sweep,1,10,14,8,2,0,1,1,12,,
ToH Sleepy Creek South,8/26/2022,none,sweep,0,11,22,17,6,0,0,1,5,,
ToH Sleepy Creek South,9/14/2022,none,sweep,0,32,10,15,0,0,3,1,12,,
ToH Sleepy Creek South,9/28/2022,none,sweep,0,30,7,7,2,0,2,0,12,,
ToH Sleepy Creek South,10/20/2022,none,sweep,0,6,1,0,0,0,1,0,10,,
ToH Atwood Drive,7/14/2022,none,sweep,0,46,97,39,9,0,10,6,22,,
ToH Atwood Drive,7/27/2022,none,sweep,0,15,72,20,6,0,2,0,12,,
ToH Atwood Drive,8/12/2022,none,sweep,0,17,28,8,1,0,2,0,15,,
ToH Atwood Drive,8/26/2022,none,sweep,0,3,16,10,1,0,1,1,5,,
ToH Atwood Drive,9/13/2022,none,sweep,0,4,10,9,3,0,2,1,12,,
ToH Atwood Drive,9/28/2022,none,sweep,0,12,13,7,0,0,0,0,6,,
ToH Atwood Drive,10/20/2022,none,sweep,0,1,1,0,0,0,2,0,2,,
ToH Shannondale Springs South,7/15/2022,none,sweep,0,78,118,28,3,0,13,5,64,,"very thorny, attempted to focus on non thorny vegetation"
ToH Shannondale Springs South,8/2/2022,none,sweep,0,4,18,2,0,0,1,1,7,,used folded printer paper instead of kimwipe 
ToH Shannondale Springs South,8/12/2022,none,sweep,0,12,43,5,5,0,0,1,13,,
ToH Shannondale Springs South,8/31/2022,none,sweep,0,3,30,7,2,0,2,0,7,,
ToH Shannondale Springs South,9/13/2002,none,sweep,0,7,42,15,2,0,4,0,10,,
ToH Shannondale Springs South,9/30/2022,none,sweep,0,4,21,1,0,0,2,0,11,,
ToH Shannondale Springs South,10/21/2022,none,sweep,0,0,2,0,0,0,1,0,7,,
ToH Yankauer,7/15/2022,none,sweep,0,39,226,41,11,0,3,6,65,,
ToH Yankauer,8/2/2022,none,sweep,0,8,64,10,5,0,5,0,23,,"forgot kimwipes for kill bag, so used printer paper instead"
ToH Yankauer,8/17/2022,none,sweep,0,11,43,11,1,0,0,1,26,,
ToH Yankauer,8/31/2022,none,sweep,0,2,14,3,0,0,1,0,15,,
ToH Yankauer,9/14/2022,none,sweep,0,1,53,7,0,0,2,1,11,,
ToH Yankauer,9/30/2022,mild,sweep,0,3,8,3,0,0,2,0,6,,
ToH Yankauer,10/21/2022,none,sweep,0,4,2,2,0,1,0,0,2,,
Negative Sleepy Creek South,7/13/2022,none,sweep,0,31,91,31,10,0,2,2,18,,
Negative Sleepy Creek South,7/27/2022,none,sweep,0,5,21,9,0,0,0,1,4,,
Negative Sleepy Creek South,8/11/2022,none,sweep,0,5,32,11,1,0,1,0,9,,
Negative Sleepy Creek South,8/26/2022,none,sweep,0,6,25,10,0,0,1,0,11,,
Negative Sleepy Creek South,9/14/2022,none,sweep,0,3,15,6,0,0,0,0,7,,
Negative Sleepy Creek South,9/28/2022,none,sweep,0,6,4,1,0,0,1,0,6,,
Negative Sleepy Creek South,10/20/2022,none,sweep,0,0,0,0,0,0,0,0,5,,
Negative Sleepy Creek North,7/13/2022,none,sweep,0,50,114,55,18,0,10,0,21,,
Negative Sleepy Creek North,7/28/2022,none,sweep,0,18,27,19,4,0,5,0,14,0,
Negative Sleepy Creek North,8/11/2022,none,sweep,0,8,15,5,2,0,3,0,16,,
Negative Sleepy Creek North,8/26/2022,none,sweep,0,20,56,24,4,0,1,0,10,,
Negative Sleepy Creek North,9/14/2022,none,sweep,0,10,13,2,1,0,0,0,7,,
Negative Sleepy Creek North,9/28/2022,none,sweep,0,15,35,5,1,0,1,0,11,,
Negative Sleepy Creek North,10/20/2022,none,sweep,0,10,4,2,0,0,0,0,9,,
Negative NCTC,7/15/2022,none,sweep,0,108,230,56,22,1,10,4,44,,
Negative NCTC,8/3/2022,none,sweep,0,52,77,17,9,0,5,1,25,,
Negative NCTC,8/17/2022,none,sweep,0,25,48,11,5,0,2,0,25,,
Negative NCTC,8/31/2022,none,sweep,0,16,30,4,1,0,1,0,22,,
Negative NCTC,9/14/2022,none,sweep,0,23,40,10,6,0,3,1,14,,
Negative NCTC,9/30/2022,none,sweep,0,20,9,13,6,0,1,1,11,,potentially contaminated with carryover plant material in net from last site
Negative NCTC,10/20/2022,none,sweep,0,4,7,2,0,0,1,0,9,,
Negative Shannondale Springs North,7/15/2022,none,sweep,0,122,251,127,16,2,17,0,99,,
Negative Shannondale Springs North,8/2/2022,none,sweep,0,28,70,42,11,0,2,0,33,0,used folded printer paper instead of kimwipe 
Negative Shannondale Springs North,8/12/2022,none,sweep,0,29,31,23,5,0,2,0,17,,
Negative Shannondale Springs North,8/31/2022,none,sweep,0,10,55,12,3,0,5,0,16,,
Negative Shannondale Springs North,9/13/2022,none,sweep,0,14,34,21,2,0,4,0,20,,
Negative Shannondale Springs North,9/30/2022,none,sweep,0,22,10,4,1,0,5,0,14,,
Negative Shannondale Springs North,10/21/2022,none,sweep,0,1,4,0,0,0,0,0,4,,
